ID,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LAT,LON,NUMERO_LOGRADOURO_ENTREGA
398,ESCOLA MUNICIPAL LEONARDO DA VINCI,BANGU,RUA RENATO REBECCHI,-22.89253,-43.47295,SNdeg
175,ESCOLA MUNICIPAL NACOES UNIDAS,BANGU,RUA DOS LIMADORES,-22.88815,-43.47629,SNdeg
528,CENTRO INTEGRADO DE EDUCACAO PUBLICA MARGARET MEE,RECREIO,RUA MINISTRO ALIOMAR BALEEIRO,-23.01981,-43.48172,SNo
586,CENTRO INTEGRADO DE EDUCACAO PUBLICA ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ,-22.88179,-43.48733,SNdeg
202,ESCOLA MUNICIPAL PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUA ESPERANCA,-22.98173,-43.49164,387
144,ESCOLA MUNICIPAL ALFREDO CESARIO ALVIM,CAMPO GRANDE,RUA RIO DA PRATA R LUISA MARILAC,-22.92315,-43.51877,20
262,CENTRO INTEGRADO DE EDUCACAO PUBLICA HERIVELTO MARTINS,AUGUSTO VASCONCELOS,PRACA SANTO ANASTACIO,-22.88649,-43.5288,SN
534,ESCOLA MUNICIPAL CORA CORALINA,CAMPO GRANDE,RUA VOTORANTIM SN KM 10,-22.85878,-43.53705,MENDANHA
215,ESCOLA MUNICIPAL NARCISA AMALIA,ILHA DE GUARATIBA,ESTRADA TEODORETO DE CAMARGO,-23.00908,-43.53758,SNo
139,ESCOLA MUNICIPAL JESUS SOARES PEREIRA,CAMPO GRANDE,RUA CONSOLACAO,-22.91959,-43.54684,138
399,CENTRO INTEGRADO DE EDUCACAO PUBLICA CLEMENTINA DE JESUS,CAMPO GRANDE,AVENIDA ALHAMBRA,-22.92529,-43.56665,SNo
379,CENTRO INTEGRADO DE EDUCACAO PUBLICA NELSON MANDELA,CAMPO GRANDE,PRACA DANIEL LAMES,-22.89558,-43.57051,SN
301,ESCOLA MUNICIPAL JONATAS SERRANO,GUARATIBA,ESTRADA DO MATO ALTO,-22.95316,-43.57741,SNo
052,ESCOLA MUNICIPAL PROFESSOR PAULO SILVA,INHOAIBA,RUA JAIRO CORREA,-22.90859,-43.58474,SNo
616,CENTRO INTEGRADO DE EDUCACAO PUBLICA PROFESSOR DARCI RIBEIRO,CAMPO GRANDE,RUA CONCHAS,-22.8873,-43.58736,SN
