id,nome_escola,tipo_escola,logradouro_entrega,numero,bairro,subprefeitura,latitude,longitude,quantidade_material_didatico,melhor_rota
331,CIEP TANCREDO NEVES,CIEP,RUA DO CATETE,77,CATETE,ZONA SUL,-22.92278,-43.17668,223,97
414,EM CLAUDIO BESSERMAN VIANNA - BUSSUNDA,EM,ESTRADA DE JACAREPAGUA,3327,RIO DAS PEDRAS,,-22.97335,-43.32915,26,98
309,EM MEXICO,EM,RUA DA MATRIZ,67,BOTAFOGO,ZONA SUL,-22.9527,-43.19176,319,99
319,EM MARECHAL PEDRO CAVALCANTI,EM,RUA PORTO FIRME,SN ,PACIENCIA,,-22.92485,-43.63289,537,100
413,EM COCIO BARCELOS,EM,RUA BARAO DE IPANEMA,34,COPACABANA,ZONA SUL,-22.97482,-43.18906,0,101
558,EM CICERO PENA,EM,AVENIDA ATLANTICA,1976,COPACABANA,ZONA SUL,-22.96864,-43.18113,573,102
246,EM FERNANDO AZEVEDO,EM,RUA DAS PALMEIRAS IMPERIAIS,SN ,SANTA CRUZ,ZONA OESTE,-22.92306,-43.69233,459,103
311,EM PESTALOZZI,EM,RUA SEVERIANO DAS CHAGAS,SN ,SANTA CRUZ,ZONA OESTE,-22.91571,-43.67975,162,104
289,EM BERTHA LUTZ,EM,ESTRADA DO PIAI,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329,105
146,EM BERNARDO VASCONCELOS,EM,PRACA SANTA ROSALIA,100,PENHA,ZONA NORTE,-22.84562,-43.284,151,106
323,CIEP ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO,SN ,SANTA CRUZ,ZONA OESTE,-22.93415,-43.66213,106,107
041,EM ANDRADE NEVES,EM,RUA VIANA DO CASTELO,SN ,JARDIM AMERICA,ZONA NORTE,-22.80944,-43.32629,468,108
263,EM PADRE MANUEL DE NOBREGA,EM,PRACA ELBA,1215,VIGARIO GERAL,ZONA NORTE,-22.85713,-43.26416,292,109
052,EM PROFESSOR PAULO SILVA,EM,RUA JAIRO CORREA,SN ,INHOAIBA,ZONA OESTE,-22.90858,-43.58473,330,110
139,EM JESUS SOARES PEREIRA,EM,RUA CONSOLACAO,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54683,316,111
230,EM BERLIM,EM,PRACA RAMOS FIGUEIRA,20,OLARIA,ZONA NORTE,-22.84779,-43.26144,24,112
498,EM CHILE,EM,PRACA BELMONTE,15,OLARIA,ZONA NORTE,-22.84858,-43.26858,61,113
560,EM ANDRE VIDAL DE NEGREIROS,EM,RUA FELIPE CARDOSO,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308,114
342,EM FERNANDO COSTA,EM,RUA JOSE ALBANO,SN ,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296,115
537,EM ARY QUINTELLA,EM,RUA ENG MOREIRA LIMA,54,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30006,234,116
534,EM CORA CORALINA,EM,RUA VOTORANTIM,SN KM 10 MENDANHA,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53704,157,117
429,EM FELIX PACHECO,EM,RUA ASSIS CARNEIRO,649,PIEDADE,ZONA NORTE,-22.89508,-43.31382,0,118
025,ESCOLA MUNICIPAL GEORGE SUMMER,EM,RUA ANA NERI,SN,RIACHUELO,ZONA NORTE,-22.9007,-43.2554,183,119
016,CIEP JOAO BATISTA DOS SANTOS,CIEP,RUA EDGAR WERNECK,1565,CIDADE DE DEUS,JACAREPAGUA,-22.9471,-43.35973,430,120
466,ESCOLA MUNICIPAL NELSON RODRIGUES,EM,RUA FREI LUIZ ALEVATO,SN ,TAQUARA,JACAREPAGUA,-22.93532,-43.36972,279,121
636,EM PABLO NERUDA,EM,ESTRADA DO MAPUA,SN RUA 3,TAQUARA,JACAREPAGUA,-22.92688,-43.38788,161,122
520,EM BARONESA DE SAAVEDRA,EM,RUA MAL BIBIANO COSTALAT,483-639,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136,123
483,EM CELESTINO SILVA,EM,RUA DO LAVRADIO,56,CENTRO,CENTRO,-22.90929,-43.18357,220,124
573,CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,CIEP,RUA CABO SAULO DE VASCONCELOS,SN ,PACIENCIA,,-22.88854,-43.63805,207,125
297,EM PROFESSORA SILVIA DE ARAUJO TOLEDO,EM,AVENIDA CANAL 3,SN CONJ CESARAO,SANTA CRUZ,ZONA OESTE,-22.93011,-43.65289,0,126
132,EM PEREIRA PASSOS,EM,PRACA CONDESSA PAULO DE FRONTIN,45,RIO COMPRIDO,CENTRO,-22.92441,-43.20857,67,127
476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,EM,PRACA ARGENTINA,20,SAO CRISTOVAO,CENTRO,-22.89762,-43.22745,190,128
035,EM SENADOR CORREA,EM,RUA SEN CORREA,SN,LARANJEIRAS,ZONA SUL,-22.93398,-43.18101,525,129
497,EM PROFESSORA LEILA MEHL MENEZES DE MATTOS,EM,AVENIDA MARIO PEREIRA DOS SANTOS,SN ,PACIENCIA,,-22.87318,-43.62773,517,130
017,EM PRESIDENTE JOSE LINHARES,EM,RUA BARAO DA TORRE,90,IPANEMA,ZONA SUL,-22.98333,-43.19903,48,131
316,EM PROFESSORA FLAVIA DOS SANTOS SOARES,EM,RUA EUDALDO GOMES DA SILVA,SN CONJ URUCANIA,PACIENCIA,,-22.91402,-43.65343,579,132
068,EM WALQUIR PEREIRA,EM,ESTRADA DE SEPETIBA,SN BLOCO 1,NOVA SEPETIBA,,-22.95601,-43.68674,135,133
373,EM PROFESSOR AUGUSTO PAULINO,EM,RUA CONEGO TOBIAS,116,MEIER,,-22.90416,-43.28033,44,134
